Rank,Name,Analytical Cornerback Score (ACS),Coverage Snaps per Reception,QB Rating Against,Yards Allowed per Snap,Forced Incompletion Rate,Interceptions,Catch Rate Allowed,Missed Tackle Rate,Penalties per Snap,TDs Allowed per Snap,Coverage Snaps,Slot Coverage Snaps,Tackles
49,Jaylen Watson,54,83.5,29.1,86.6,66.5,18.5,87.4,92.9,60.6,10.2,28.6,64.5,29.1
50,Fabian Moreau,53.4,65,61.8,47.2,42.1,52.4,34.6,74.4,38.6,96.5,42.2,45.3,53.1
51,Sean Murphy-Bunting,53.3,53.9,54.3,29.9,40.2,77.2,42.9,70.9,4.7,70.5,49.4,82.4,65.7
52,Taron Johnson,53,38.6,26.4,82.7,15.7,18.5,11,74.4,45.7,62.2,72.5,0.8,92.5
53,Isaac Yiadom,52.4,85.8,70.9,69.3,100,52.4,95.3,11.4,74,22.8,18.9,56.3,8.7
54,Greg Newsome II,52,47.6,77.2,40.9,93.7,77.2,68.5,16.5,39.4,69.3,44.6,19.5,45.3
55,Dane Jackson,51.4,79.9,14.2,89,92.9,18.5,47.6,65.7,61.4,17.3,29.1,92.2,33.1
56,Amik Robertson,51.3,45.7,68.1,50.4,45.7,77.2,55.9,36.6,31.5,40.2,34.9,35.2,57.5
57,Terell Smith,51.1,41.7,75.6,67.7,66.5,18.5,71.7,72.8,84.3,72.4,9.8,80.9,41.7
58,Marcus Peters,50.8,65,37.4,78,20.5,52.4,22.4,16.5,66.1,42.5,36,92.2,37.4
59,Eric Garror,50.8,89,57.5,96.9,44.1,18.5,88.2,60.2,54.3,28.7,4.8,32,5.5
60,James Bradberry,50.2,59.1,15,42.5,52.8,52.4,66.5,51.2,70.9,9.4,84,31.3,70.1
61,Tre Brown,49.6,65,50.4,52,73.2,77.2,49.2,26.4,1.6,35.4,28.3,76.6,16.9
62,Ja'Sir Taylor,48.9,53.9,88.2,58.3,74.4,52.4,66.5,1.6,58.3,96.5,25.6,13.3,14.2
